EVENT_TYPE	CATEGORY	TERM	CODE
OBS	HAEMATURIA	Haematuria	34436003
OBS	HAEMATURIA	Frank haematuria	197941005
OBS	HAEMATURIA	Blood in urine - haematuria	53298000
OBS	HAEMATURIA	Painless haematuria	197938001
OBS	HAEMATURIA	Painful haematuria	197939009
OBS	HAEMATURIA	History of haematuria	161550001
OBS	HAEMATURIA	Microscopic haematuria	197940006
OBS	URINE_LAB_ABNORMALITIES	Urine blood test = +++	167302009
OBS	URINE_LAB_ABNORMALITIES	Urine blood test = ++	167301002
OBS	URINE_LAB_ABNORMALITIES	Urine: red - blood	167235001
OBS	URINE_LAB_ABNORMALITIES	Urine specific gravity - 1^030	1856671000006101
OBS	URINE_LAB_ABNORMALITIES	Urine protein test = +++	167277001
OBS	URINE_LAB_ABNORMALITIES	Urine protein test = ++++	167278006
OBS	URINE_LAB_ABNORMALITIES	Urine urobilinogen not detected	167323003
OBS	URINE_LAB_ABNORMALITIES	Urine looks dark	39575007
OBS	URINE_LAB_ABNORMALITIES	Urine: dark/concentrated	167232003
OBS	URINE_LAB_ABNORMALITIES	Sample microscopy: leucocytes	999291000000102
OBS	URINE_LAB_ABNORMALITIES	Sample microscopy: red cells	999131000000106
OBS	URINE_LAB_ABNORMALITIES	Urine cytology	310437009
OBS	URINE_INVESTIGATIONS	Urine culture	1023711000000100
OBS	URINE_INVESTIGATIONS	Urine microscopy	1014831000000107
OBS	URINE_INVESTIGATIONS	MSU - Mid-stream urine sample	258574006
OBS	URINE_INVESTIGATIONS	Cytology laboratory test	992841000000104
OBS	URINE_INVESTIGATIONS	Antibacterial substance screening test	1009861000000101
OBS	LUTS	Bladder pain	15803009
OBS	LUTS	Difficulty passing urine	102835006
OBS	LUTS	Delay when starting to pass urine	5972002
OBS	LUTS	Terminal dribbling of urine	162130008
OBS	LUTS	Micturition frequency and polyuria	274734008
OBS	LUTS	Chronic retention of urine	236650000
OBS	LUTS	Lower urinary tract infectious disease	4009004
OBS	UROLOGICAL_CONDITIONS	Disorder of bladder	42643001
OBS	UROLOGICAL_CONDITIONS	Bladder trabeculation	79184009
OBS	UROLOGICAL_CONDITIONS	Bladder stone	70650003
OBS	UROLOGICAL_CONDITIONS	Bladder assessment	268390008
OBS	UROLOGICAL_CONDITIONS	Hydronephrosis	43064006
OBS	UROLOGICAL_CONDITIONS	Hydroureteronephrosis	40068008
OBS	UROLOGICAL_CONDITIONS	Atrophy of kidney	197659005
OBS	UROLOGICAL_CONDITIONS	Pyuria	4800001
OBS	CATHETER_PROCEDURES	Insertion of urethral catheter	410021007
OBS	CATHETER_PROCEDURES	Urinary catheter in situ	439053001
OBS	CATHETER_PROCEDURES	Catheter complications	73862001
OBS	CATHETER_PROCEDURES	Successful trial without catheter	864021000000101
OBS	CATHETER_PROCEDURES	Removal of urethral catheter	55449009
OBS	CATHETER_PROCEDURES	Urethroscopic urethral dilatation	176356008
OBS	CATHETER_PROCEDURES	Prostatitis	9713002
OBS	IMAGING	Renal ultrasound abnormal	202541000000104
OBS	IMAGING	Ultrasound scan of bladder	169251004
OBS	IMAGING	Echography of kidney	306005
OBS	IMAGING	US urinary tract	303917008
OBS	GYNAECOLOGICAL_BLEEDING	Intermenstrual bleeding - irregular	64996003
OBS	GYNAECOLOGICAL_BLEEDING	Menorrhagia	386692008
OBS	GYNAECOLOGICAL_BLEEDING	Abnormal vaginal bleeding	301822002
OBS	OTHERS	[D]Abdominal or pelvic symptom NOS	396941000000100
OBS	OTHERS	Acute kidney injury stage 2	851941000000103
OBS	WEIGHT_LOSS	Weight loss	89362005
OBS	WEIGHT_LOSS	Weight decreasing	161832001
OBS	WEIGHT_LOSS	Abnormal weight loss	267024001
OBS	WEIGHT_LOSS	Unintentional weight loss	448765001
OBS	WEIGHT_LOSS	Complaining of weight loss	198511000000103
OBS	WEIGHT_LOSS	Unexplained/progressive weight loss	960561000006106
OBS	FATIGUE	Fatigue	84229001
OBS	FATIGUE	Fatigue - symptom	272060000
OBS	FATIGUE	Malaise and fatigue	271795006
OBS	FATIGUE	Lethargy	214264003
OBS	FATIGUE	Exhaustion	60119000
OBS	FATIGUE	C/O - debility - malaise	272036004
OBS	FATIGUE	Feels unwell	367391008
OBS	APPETITE_LOSS	Loss of appetite	79890006
OBS	APPETITE_LOSS	Anorexia symptom	249468005
OBS	DYSURIA	Dysuria	49650001
OBS	SUPRAPUBIC_PAIN	Suprapubic pain	162053006
OBS	BACK_PAIN	Low back pain	279039007
OBS	BACK_PAIN	Acute back pain - unspecified	161891005
OBS	BACK_PAIN	C/O - low back pain	161894002
OBS	BACK_PAIN	Chronic low back pain	278860009
OBS	BACK_PAIN	Chronic back pain	134407002
OBS	LOIN_PAIN	Loin pain	271857006
OBS	LOIN_PAIN	C/O - loin pain	272047006
OBS	LOIN_PAIN	Left loin pain	853721000006104
OBS	LOIN_PAIN	Left flank pain	162049009
OBS	DVT	Deep vein thrombosis	128053003
OBS	DVT	Deep vein thrombosis of lower limb	404223003
OBS	DVT	DVT leg	266267005
OBS	DVT	Postoperative deep vein thrombosis	213220000
OBS	DVT	Suspected DVT	432805000
OBS	PULMONARY_EMBOLISM	Pulmonary embolism	59282003
OBS	PULMONARY_EMBOLISM	Recurrent pulmonary embolism	438773007
OBS	ANAEMIA_DX	Anaemia	271737000
OBS	ANAEMIA_DX	Anaemia (variant)	960301000006100
OBS	ANAEMIA_DX	Normocytic anaemia	300980002
OBS	ANAEMIA_DX	Macrocytic anaemia	83414005
OBS	ANAEMIA_DX	Chronic anaemia	191268006
OBS	ANAEMIA_DX	H/O: anaemia	275538002
OBS	ANAEMIA_DX	Iron deficiency anaemia	87522002
OBS	NIGHT_SWEATS	Night sweats	42984000
OBS	FRAILTY	Frailty Index score	713636003
OBS	FRAILTY	Mild frailty	925791000000100
OBS	FRAILTY	Moderate frailty	925831000000107
OBS	FRAILTY	Severe frailty	925861000000102
OBS	CURRENT_SMOKER	Current smoker	77176002
OBS	CURRENT_SMOKER	Cigarette smoker	65568007
OBS	CURRENT_SMOKER	Light cigarette smoker (1-9 cigs/day)	160603005
OBS	CURRENT_SMOKER	Moderate cigarette smoker (10-19 cigs/day)	160604004
OBS	CURRENT_SMOKER	Heavy cigarette smoker (20-39 cigs/day)	160605003
OBS	CURRENT_SMOKER	Very heavy cigarette smoker (40+ cigs/day)	160606002
OBS	CURRENT_SMOKER	Tobacco smoking behaviour - finding	365981007
OBS	CURRENT_SMOKER	Tobacco smoking consumption	266918002
OBS	CURRENT_SMOKER	Cigar consumption	230057008
OBS	CURRENT_SMOKER	Current smoker annual review	505651000000103
OBS	CURRENT_SMOKER	Passive smoking risk	161080002
OBS	CURRENT_SMOKER	Current smoker (variant)	854071000006103
OBS	CURRENT_SMOKER	Current Smoker NOS	604961000006105
OBS	EX_SMOKER	Ex-smoker	8517006
OBS	EX_SMOKER	Ex-cigarette smoker	281018007
OBS	EX_SMOKER	Ex-light cigarette smoker (1-9/day)	266922007
OBS	EX_SMOKER	Ex-moderate cigarette smoker (10-19/day)	266923002
OBS	EX_SMOKER	Ex-heavy cigarette smoker (20-39/day)	266924008
OBS	EX_SMOKER	Ex-very heavy cigarette smoker (40+/day)	266925009
OBS	EX_SMOKER	Ex-trivial cigarette smoker (<1/day)	266921000
OBS	EX_SMOKER	Ex roll-up cigarette smoker	492191000000103
OBS	EX_SMOKER	Ex-smoker annual review	505761000000105
OBS	EX_SMOKER	Stopped smoking	160617001
OBS	EX_SMOKER	Date ceased smoking	160625004
OBS	EX_SMOKER	Recently stopped smoking	517211000000106
OBS	EX_SMOKER	Time since stopped smoking	228486009
OBS	SMOKING_CESSATION_REFUSED	Not interested in stopping smoking	394873005
OBS	SMOKING_CESSATION_REFUSED	Smoking cessation programme declined	1087441000000106
OBS	SMOKING_CESSATION_REFUSED	Smoking cessation advice declined	527151000000107
OBS	SMOKING_CESSATION_REFUSED	Referral for smoking cessation service declined	871641000000105
OBS	SMOKING_CESSATION_REFUSED	Smoking cessation drug therapy declined	822591000000108
OBS	SMOKING_CESSATION_REFUSED	Monitoring of smoking cessation therapy declined	765001003
OBS	ALCOHOL	Alcoholic beverage intake	897148007
OBS	ALCOHOL	Alcohol units consumed per week	1082641000000106
OBS	ALCOHOL	Alcohol consumption	160573003
OBS	ALCOHOL	Alcohol use disorders identification test score	443280005
OBS	ALCOHOL	AUDIT-C score	763256006
OBS	DIABETES	Type 2 diabetes mellitus	44054006
OBS	DIABETES	Type 1 diabetes mellitus	46635009
OBS	DIABETES	Diabetes mellitus	73211009
OBS	CKD	Chronic kidney disease stage 3	433144002
OBS	CKD	Chronic kidney disease stage 4	431857002
OBS	CKD	Chronic kidney disease stage 5	433146000
OBS	CKD	Chronic kidney disease stage 3A	700378005
OBS	CKD	Chronic kidney disease stage 3B	700379002
OBS	CKD	Chronic kidney disease	709044004
OBS	HYPERTENSION	Essential hypertension	59621000
OBS	HYPERTENSION	Hypertension	38341003
OBS	OBESITY	Obesity	414916001
OBS	OBESITY	Body mass index 30+ - obesity	162864005
OBS	COPD	Chronic obstructive pulmonary disease	13645005
OBS	HEART_FAILURE	Heart failure	84114007
OBS	HEART_FAILURE	Congestive heart failure	42343007
OBS	ATRIAL_FIBRILLATION	Atrial fibrillation	49436004
OBS	RECURRENT_UTI	Recurrent urinary tract infection	197927001
OBS	BPH	Benign prostatic hyperplasia	266569009
OBS	BPH	Enlarged prostate	236764008
OBS	PREVIOUS_CANCER	History of malignant neoplasm	417662000
OBS	PREVIOUS_CANCER	Personal history of malignant neoplasm	429667007
OBS	RENAL	eGFR using creatinine	1011481000000105
OBS	RENAL	Serum creatinine level	1000731000000107
OBS	HAEMATOLOGY	Haemoglobin concentration	1022431000000105
OBS	HAEMATOLOGY	Platelet count	1022651000000102
OBS	HAEMATOLOGY	White blood cell count	1022551000000104
OBS	HAEMATOLOGY	MCV - Mean corpuscular volume	1022491000000106
OBS	HAEMATOLOGY	Serum ferritin level	993381000000106
OBS	HAEMATOLOGY	Serum iron level	1019351000000105
OBS	HAEMATOLOGY	Red blood cell count	1022451000000103
OBS	HAEMATOLOGY	Haematocrit	1022291000000105
OBS	INFLAMMATORY	C-reactive protein level	1015721000000105
OBS	INFLAMMATORY	Erythrocyte sedimentation rate	1018251000000107
OBS	PSA	Prostate specific antigen level	1015681000000101
OBS	LIVER	Alanine aminotransferase level	1018041000000105
OBS	LIVER	Alkaline phosphatase level	1014081000000104
OBS	LIVER	Serum alkaline phosphatase level	1000621000000104
OBS	METABOLIC	Serum albumin level	1017351000000104
OBS	METABOLIC	Plasma glucose level	1010671000000107
OBS	METABOLIC	HbA1c level	1019431000000105
OBS	METABOLIC	Serum albumin level (variant)	1000821000000103
OBS	VITALS	Body weight	27113001
OBS	VITALS	Body mass index	60621009
OBS	ELECTROLYTES	Serum calcium level	1000691000000101
OBS	ELECTROLYTES	Serum adjusted calcium concentration	935051000000108
MED	UTI_ANTIBIOTICS	Nitrofurantoin 100mg MR capsules	39108511000001108
MED	UTI_ANTIBIOTICS	Nitrofurantoin 100mg tablets	41952911000001104
MED	UTI_ANTIBIOTICS	Nitrofurantoin 50mg capsules	41953111000001108
MED	UTI_ANTIBIOTICS	Nitrofurantoin 50mg tablets	41953211000001102
MED	UTI_ANTIBIOTICS	Trimethoprim 200mg tablets	41956211000001109
MED	UTI_ANTIBIOTICS	Trimethoprim 100mg tablets	41956111000001103
MED	UTI_ANTIBIOTICS	Pivmecillinam 200mg tablets	39702711000001106
MED	UTI_ANTIBIOTICS	Cefalexin 500mg capsules	39694811000001102
MED	UTI_ANTIBIOTICS	Cefalexin 500mg tablets	39735911000001106
MED	UTI_ANTIBIOTICS	Cefalexin 250mg capsules	39735311000001105
MED	UTI_ANTIBIOTICS	Cefradine 500mg capsules	41944611000001104
MED	UTI_ANTIBIOTICS	Ciprofloxacin 500mg tablets	39687811000001107
MED	UTI_ANTIBIOTICS	Ciprofloxacin 250mg tablets	39687511000001109
MED	UTI_ANTIBIOTICS	Ciprofloxacin 750mg tablets	39687011000001104
MED	UTI_ANTIBIOTICS	Ofloxacin 200mg tablets	41953411000001104
MED	UTI_ANTIBIOTICS	Fosfomycin 3g granules	18162111000001102
MED	UTI_ANTIBIOTICS	Co-amoxiclav 500mg/125mg tablets	39732211000001107
MED	UTI_ANTIBIOTICS	Co-amoxiclav 250mg/125mg tablets	39732111000001101
MED	UTI_ANTIBIOTICS	Co-trimoxazole 80mg/400mg tablets	41947411000001104
MED	UTI_ANTIBIOTICS	Methenamine hippurate 1g tablets	41951711000001104
MED	UTI_ANTIBIOTICS	Doxycycline 100mg capsules	41948311000001104
MED	CATHETER_SUPPLIES_NIGHT_BAGS	Hollister drainable night drainage bag 5550	6771411000001109
MED	CATHETER_SUPPLIES_NIGHT_BAGS	Spirit One MT drainable night drainage bag DSP1MT30 2L	40065811000001104
MED	CATHETER_SUPPLIES_NIGHT_BAGS	Spirit Bed bag drainable night drainage bag DSBB2000 2L	34049411000001100
MED	CATHETER_SUPPLIES_NIGHT_BAGS	Simpla S2 non-drainable night drainage bag 2L	6754711000001103
MED	CATHETER_SUPPLIES_NIGHT_BAGS	Simpla Profile drainable night drainage bag 2L	11368111000001103
MED	CATHETER_SUPPLIES_NIGHT_BAGS	Prosys single use non-sterile drainable night bag 2L	11432911000001100
MED	CATHETER_SUPPLIES_NIGHT_BAGS	Prosys sterile drainable night bag with lever tap 2L	16622011000001104
MED	CATHETER_SUPPLIES_NIGHT_BAGS	Uriplan sterile leg bag D5L 500ml	6528111000001105
MED	CATHETER_SUPPLIES_LEG_BAGS	Prosys sterile leg bag 500ml short tube	16619711000001100
MED	CATHETER_SUPPLIES_LEG_BAGS	Prosys sterile leg bag 500ml long tube	16619911000001104
MED	CATHETER_SUPPLIES_LEG_BAGS	LINC-Flo sterile leg bag 500ml	20480911000001100
MED	CATHETER_SUPPLIES_LEG_BAGS	Simpla Profile sterile leg bag 500ml 6cm tube	11364311000001106
MED	CATHETER_SUPPLIES_LEG_BAGS	Simpla Profile sterile leg bag 500ml 25cm tube	11364711000001104
MED	CATHETER_SUPPLIES_STRAPS	Ugo fix catheter strap medium 80cm	27970311000001104
MED	CATHETER_SUPPLIES_STRAPS	Prosys catheter retaining strap adult	35623811000001100
MED	CATHETER_SUPPLIES_STRAPS	Elasticated cotton leg strap P10LS	6484011000001100
MED	CATHETER_SUPPLIES_STRAPS	Simpla G-Strap adult 50cm	6476511000001109
MED	CATHETER_SUPPLIES_STRAPS	Leg bag strap 15LS (Bard)	6456111000001102
MED	CATHETER_SUPPLIES_STRAPS	Elasticated leg bag strap (Coloplast)	6474511000001103
MED	CATHETER_SUPPLIES_STRAPS	Loc-Strap catheter retaining strap	30234611000001108
MED	CATHETER_SUPPLIES_CATHETERS	Brillant AquaFlate catheter male 14Ch	6406211000001104
MED	CATHETER_SUPPLIES_CATHETERS	Brillant AquaFlate catheter male 12Ch	6315111000001107
MED	CATHETER_SUPPLIES_CATHETERS	Brillant AquaFlate catheter male 16Ch	6343111000001100
MED	CATHETER_SUPPLIES_VALVES	Prosys sterile catheter valve	24542811000001108
MED	CATHETER_SUPPLIES_VALVES	Flip-Flo sterile catheter valve	6437311000001103
MED	CATHETER_MAINTENANCE	OptiLube sterile lubricating jelly	37575511000001104
MED	CATHETER_MAINTENANCE	Cathejell Lidocain CJLL12501	34061711000001104
MED	CATHETER_MAINTENANCE	Cathejell Lidocaine C CJL 08501	34060611000001100
MED	CATHETER_MAINTENANCE	Instillagel gel (CliniMed)	8552411000001106
MED	CATHETER_MAINTENANCE	Uro-Tainer sodium chloride 0.9%	3494611000001100
MED	CATHETER_MAINTENANCE	OptiFlo S saline 0.9%	3494911000001106
MED	CATHETER_MAINTENANCE	Uro-Tainer Twin Suby G citric acid 3.23%	7430111000001102
MED	LUTS_MEDICATIONS	Tamsulosin 400mcg MR capsules	38754011000001109
MED	LUTS_MEDICATIONS	Tamsulosin/Dutasteride capsules	17181511000001104
MED	LUTS_MEDICATIONS	Finasteride 5mg tablets	42036011000001106
MED	LUTS_MEDICATIONS	Oxybutynin 2.5mg tablets	42038911000001109
MED	LUTS_MEDICATIONS	Mirabegron 50mg MR tablets	38893511000001109
MED	LUTS_MEDICATIONS	Trospium chloride 60mg MR capsules	42044211000001104
MED	HAEMOSTATIC	Tranexamic acid 500mg tablets	41989811000001104
MED	ANTICOAGULANTS	Apixaban 2.5mg tablets	42206411000001104
MED	ANTICOAGULANTS	Apixaban 5mg tablets	42206511000001102
MED	ANTICOAGULANTS	Edoxaban 30mg tablets	29903311000001108
MED	ANTICOAGULANTS	Rivaroxaban 15mg tablets	19842111000001101
MED	ANTICOAGULANTS	Rivaroxaban 20mg tablets	19842211000001107
MED	ANTICOAGULANTS	Warfarin 3mg tablets	42217611000001104
MED	ANTICOAGULANTS	Warfarin 500mcg tablets	42217811000001100
MED	ANTICOAGULANTS	Warfarin 5mg tablets	42217911000001105
MED	ANTICOAGULANTS	Warfarin 1mg tablets	42217511000001103
MED	WOUND_STOMA_CARE	Actilite gauze dressing 5cm x 5cm	22232211000001104
MED	WOUND_STOMA_CARE	Povidone-Iodine fabric dressing 9.5cm	3440711000001107
MED	WOUND_STOMA_CARE	Aquacel dressing 10cm x 10cm	10230711000001108
MED	WOUND_STOMA_CARE	Brava adhesive remover spray	17162011000001108
MED	LAXATIVES	Laxido Orange oral powder sachets	17420611000001107
MED	LAXATIVES	CosmoCol Orange Lemon and Lime oral powder sachets	23621311000001100
MED	LAXATIVES	Senna 7.5mg tablets	42358311000001108
MED	LAXATIVES	Lactulose	42354411000001105
MED	LAXATIVES	Movicol	3258511000001100
MED	SMOKING_CESSATION_MEDS	Nicotine 21mg/24h transdermal patches	39022411000001104
MED	SMOKING_CESSATION_MEDS	Nicotine 14mg/24h transdermal patches	36565311000001104
MED	SMOKING_CESSATION_MEDS	Varenicline 1mg and 500mcg tablets	10984311000001108
MED	COPD_RESPIRATORY	Trelegy Ellipta	34952211000001104
MED	COPD_RESPIRATORY	Trimbow NEXThaler	39993311000001104
MED	NORETHISTERONE	Norethisterone 5mg tablets	42297111000001104
MED	IRON_SUPPLEMENTS	Ferrous fumarate 210mg tablets	41984711000001104
MED	IRON_SUPPLEMENTS	Ferrous sulfate 200mg tablets	41985211000001107
MED	IRON_SUPPLEMENTS	Ferrous fumarate other	41985011000001102
MED	IRON_SUPPLEMENTS	Ferrous sulfate other	39107411000001105
MED	IRON_SUPPLEMENTS	Sytron iron	582711000001102
MED	IRON_SUPPLEMENTS	Galfer capsules	3159311000001102
MED	OPIOID_ANALGESICS	Dihydrocodeine 30mg tablets	39708511000001104
MED	OPIOID_ANALGESICS	Co-codamol 15mg/500mg tablets	3805611000001109
MED	OPIOID_ANALGESICS	Codeine 30mg tablets	42010411000001105
MED	OPIOID_ANALGESICS	Morphine sulfate oral solution	36128311000001101
MED	OPIOID_ANALGESICS	Co-codamol 30mg/500mg	42009811000001101
MED	OPIOID_ANALGESICS	Tramadol capsules	42017811000001106
MED	OPIOID_ANALGESICS	Tramadol tablets	7386811000001106
MED	OPIOID_ANALGESICS	Oxycodone	36131211000001102
MED	OPIOID_ANALGESICS	Fentanyl patches	9752311000001101
MED	GI_ANTISPASMODICS	Buscopan 10mg tablets	738611000001104
MED	GI_ANTISPASMODICS	Mebeverine 135mg tablets	42355011000001102
MED	GI_ANTISPASMODICS	Hyoscine butylbromide	42037011000001109
MED	BLADDER_ANTISPASMODICS	Solifenacin 5mg tablets	42042911000001105
MED	BLADDER_ANTISPASMODICS	Tolterodine	14608411000001108
MED	BLADDER_ANTISPASMODICS	Fesoterodine	38894011000001104
MED	URINARY_RETENTION_DRUGS	Doxazosin 4mg MR tablets	39020411000001106
MED	URINARY_RETENTION_DRUGS	Doxazosin 4mg tablets	42209311000001101
MED	URINARY_RETENTION_DRUGS	Alfuzosin	38897311000001105
MED	UTI_ANTIBIOTICS	Nitrofurantoin 100mg modified-release capsules	39108511000001104
MED	UTI_ANTIBIOTICS	Trimethoprim 200mg tablets	41956211000001112
MED	UTI_ANTIBIOTICS	Pivmecillinam 200mg tablets	39702711000001104
MED	LUTS_MEDICATIONS	Tamsulosin 400microgram modified-release capsules	38754011000001112
MED	UTI_ANTIBIOTICS	Cefalexin 500mg capsules	39694811000001104
MED	UTI_ANTIBIOTICS	Ciprofloxacin 500mg tablets	39687811000001104
MED	LUTS_MEDICATIONS	Finasteride 5mg tablets	42036011000001104
MED	UTI_ANTIBIOTICS	Nitrofurantoin 50mg capsules	41953111000001104
MED	LAXATIVES	Laxido Orange oral powder sachets sugar free (Galen Ltd)	17420611000001108
MED	UTI_ANTIBIOTICS	Cefalexin 250mg capsules	39735311000001104
MED	UTI_ANTIBIOTICS	Nitrofurantoin 50mg tablets	41953211000001104
MED	UTI_ANTIBIOTICS	Co-amoxiclav 500mg/125mg tablets	39732211000001104
MED	ANTICOAGULANTS	Apixaban 5mg tablets	42206511000001104
MED	UTI_ANTIBIOTICS	Co-amoxiclav 250mg/125mg tablets	39732111000001104
MED	LAXATIVES	Macrogol compound oral powder sachets NPF sugar free	3591211000001105
OBS	PSA	Serum PSA (prostate specific antigen) level	1000381000000105
OBS	URINE_INVESTIGATIONS	MSU sent to lab.	167223000
OBS	RECURRENT_UTI	UTI - Urinary tract infection	68566005
MED	LAXATIVES	Senna 7.5mg tablets	42358311000001104
OBS	URINE_LAB_ABNORMALITIES	Urinalysis = abnormal	167222005
OBS	URINE_LAB_ABNORMALITIES	Urine protein test = ++	167276005
OBS	LUTS	Increased frequency of urination	162116003
OBS	URINE_LAB_ABNORMALITIES	Urine microscopy: pus cells	1041881000000101
OBS	URINE_LAB_ABNORMALITIES	Epithelial cell count	992871000000105
OBS	URINE_INVESTIGATIONS	Mid stream urine sent to laboratory	167223000
OBS	IMAGING	Computed tomography	77477000
OBS	URINE_LAB_ABNORMALITIES	Urine microscopy: red cells	1038641000000104
OBS	URINE_LAB_ABNORMALITIES	Urine Microscopy: white cells	271350002
OBS	LUTS	Urgent desire to urinate	75088002
OBS	URINE_LAB_ABNORMALITIES	Sample microscopy: epithelial cells	999411000000105
OBS	URINE_LAB_ABNORMALITIES	Urine protein test = +	167275009
OBS	URINE_INVESTIGATIONS	Urine sent for culture	168338000
MED	IRON_SUPPLEMENTS	Ferrous sulfate 200mg tablets	41985211000001104
OBS	URINE_INVESTIGATIONS	MSU sent for C/S	168336001
OBS	HAEMATOLOGY	Activated partial thromboplastin time	852511000000103
OBS	URINE_LAB_ABNORMALITIES	Organism count	992821000000106
OBS	URINE_LAB_ABNORMALITIES	Urine looks cloudy	7766007
OBS	URINE_LAB_ABNORMALITIES	Urine microscopy: epithelial cells	167354004
MED	LAXATIVES	Lactulose 3.1-3.7g/5ml oral solution	42354411000001104
MED	OPIOID_ANALGESICS	Tramadol 50mg capsules	42017811000001104
OBS	URINE_LAB_ABNORMALITIES	Urine blood test = +	167300001
OBS	HAEMATOLOGY	Activated partial thromboplastin time ratio	1001421000000107
MED	OPIOID_ANALGESICS	Co-codamol 30mg/500mg tablets	42009811000001104
MED	OPIOID_ANALGESICS	Codeine 15mg tablets	42010311000001104
OBS	RECURRENT_UTI	Suspected UTI (urinary tract infection)	314940005
MED	OPIOID_ANALGESICS	Codeine 30mg tablets	42010411000001104
OBS	LUTS	Nocturia	981411000006101
OBS	URINE_LAB_ABNORMALITIES	Urine protein test = trace	167274008
OBS	URINE_LAB_ABNORMALITIES	Urine microscopy: hyaline casts	1038661000000103
OBS	HAEMATOLOGY	Prothrombin time	852471000000107
OBS	URINE_LAB_ABNORMALITIES	Finding related to casts on urine microscopy	365689007
OBS	PSA	PSA (prostate-specific antigen) level	1030791000000100
OBS	ATRIAL_FIBRILLATION	Atrial fibrillation annual review	248411000000105
OBS	HAEMATOLOGY	International normalised ratio	165581004
OBS	RENAL	Estimated creatinine clearance (Cockcroft-Gault formula)	968191000000100
OBS	RECURRENT_UTI	Urinary tract infection, site not specified	68566005
OBS	IMAGING	Ultrasound scan	16310003
OBS	IMAGING	Refer for ultrasound investigation	183831007
OBS	DIABETES	CHA2DS2-VASc (congestive heart failure, hypertension, age 2, diabetes mellitus, stroke 2, vascular disease, age, sex cat	735259005
OBS	INFLAMMATORY	Serum CRP (C reactive protein) level	1001371000000100
OBS	HAEMATOLOGY	Platelet count	1022651000000100
OBS	URINE_INVESTIGATIONS	Urinary microscopy, culture and sensitivities	995581000000104
OBS	URINE_INVESTIGATIONS	Urine dipstick test	1007881000000101
OBS	URINE_LAB_ABNORMALITIES	Urine dipstick leucocytes negative	858021000006107
OBS	URINE_INVESTIGATIONS	Urine dipstick leucocytes positive	858011000006104
OBS	URINE_INVESTIGATIONS	Urine sample obtained	313335001
OBS	URINE_LAB_ABNORMALITIES	Urine nitrite positive	314137006
OBS	URINE_INVESTIGATIONS	Urine sample sent to Lab	165339009
