code_type	category	code_id	term
snomed	Comorbidity - Cardiovascular	1045	Benign essential hypertension
snomed	Comorbidity - Cardiovascular	10028	Benign hypertension
snomed	Comorbidity - Cardiovascular	11094	Mitral valve disorder
snomed	Comorbidity - Cardiovascular	45902	Mitral valve regurgitation
snomed	Comorbidity - Cardiovascular	52576	Hyperlipidemia
snomed	Comorbidity - Cardiovascular	56139	Essential hypertension
snomed	Comorbidity - Cardiovascular	56724	Aortic valve regurgitation
snomed	Comorbidity - Cardiovascular	100680	Tricuspid valve regurgitation
snomed	Comorbidity - Cardiovascular	371565	Coronary atherosclerosis
snomed	Comorbidity - Cardiovascular	451750	Chronic kidney disease stage 3 due to hypertension
snomed	Comorbidity - GI / GU	44539	Reflux
snomed	Comorbidity - GI / GU	231343	Esophageal reflux finding
snomed	Comorbidity - GI / GU	248220	Genitourinary symptoms
snomed	Comorbidity - GI / GU	269564	Vaginal problem
snomed	Comorbidity - GI / GU	362753	Acute urinary tract infection
snomed	Comorbidity - GI / GU	420241	Diverticulum of large intestine without hemorrhage
snomed	Comorbidity - GI / GU	511367	Diverticular disease of colon
loinc	Comorbidity - Mental Health	819135	Do you feel happy most of the time [GDS]
loinc	Comorbidity - Mental Health	819148	Do you feel that your situation is hopeless [GDS]
loinc	Comorbidity - Mental Health	839640	Trouble sleeping in past 4 weeks [Reported.PHQ]
loinc	Comorbidity - Mental Health	858770	Patient Health Questionnaire-9: Modified for Teens total score [Reported.PHQ.Teen]
loinc	Comorbidity - Mental Health	858775	Beck Depression Inventory II total score [BDI]
loinc	Comorbidity - Mental Health	864878	Little interest or pleasure in doing things in last 2 weeks Caregiver [Reported.PHQ]
snomed	Comorbidity - Mental Health	34777	Major depression, single episode
snomed	Comorbidity - Mental Health	180910	Anxiety state
snomed	Comorbidity - Mental Health	338201	Level of depression
icd10cm	Comorbidity - Other	537973	Soft tissue disorder, unspecified
snomed	Comorbidity - Other	68659	Brachial neuritis
snomed	Comorbidity - Other	333677	Hemangioma
loinc	Comorbidity - Respiratory / ENT	791189	FEV1 measured/predicted
loinc	Comorbidity - Respiratory / ENT	791194	FEV1 --pre bronchodilation
loinc	Comorbidity - Respiratory / ENT	798942	Airway clearance impairment [CCC]
loinc	Comorbidity - Respiratory / ENT	824261	Respiratory status finding
loinc	Comorbidity - Respiratory / ENT	850093	Breath sounds by Auscultation
loinc	Comorbidity - Respiratory / ENT	850115	Respiratory effort
loinc	Comorbidity - Respiratory / ENT	855440	Cough duration
snomed	Comorbidity - Respiratory / ENT	6879	Disorder of nasal sinus
snomed	Comorbidity - Respiratory / ENT	9820	Acute bronchitis
snomed	Comorbidity - Respiratory / ENT	14815	Acute sinusitis
snomed	Comorbidity - Respiratory / ENT	40549	Abnormal posture
snomed	Comorbidity - Respiratory / ENT	49599	Respiratory sounds
snomed	Comorbidity - Respiratory / ENT	255023	Lung field abnormal
snomed	Comorbidity - Respiratory / ENT	259032	Respiratory pattern
snomed	Comorbidity - Respiratory / ENT	280112	Pharynx problem
snomed	Comorbidity - Respiratory / ENT	321534	Abnormal breathing
snomed	Comorbidity - Respiratory / ENT	334451	FEV1 before bronchodilation
snomed	Comorbidity - Respiratory / ENT	372652	Measurement of expired nitric oxide
loinc	Comorbidity - Skin / Dermatology	809844	Turgor [Interpretation] of Skin
snomed	Comorbidity - Skin / Dermatology	721	Actinic keratosis
snomed	Comorbidity - Skin / Dermatology	37949	Contact dermatitis
snomed	Comorbidity - Skin / Dermatology	207699	Skin assessment
snomed	Comorbidity - Skin / Dermatology	328462	Seborrheic keratosis
snomed	Comorbidity - Skin / Dermatology	335530	Onychomycosis due to dermatophyte
snomed	Comorbidity - Skin / Dermatology	370440	Inflamed seborrheic keratosis
snomed	Comorbidity - Skin / Dermatology	425818	Lentigo
snomed	Comorbidity - Skin / Dermatology	500655	Actinic keratosis
cpt	General Imaging	2644026	Radiologic examination, chest; single view, frontal
cpt	General Imaging	2644035	Radiologic examination, chest, 2 views, frontal and lateral
cpt	General Imaging	2644363	Radiologic examination, abdomen; single anteroposterior view
loinc	General Imaging	789914	Colonoscopy study
snomed	General Imaging	291258	Magnetic resonance imaging - action
snomed	History - Infectious Disease	447796	Exposure to tuberculosis
cpt	Lab - Cardiac Enzymes	2633826	Creatine kinase (CK), (CPK); MB fraction only
loinc	Lab - Cardiac Enzymes	772589	Creatine kinase [Enzymatic activity/volume] in Serum or Plasma
loinc	Lab - Cardiac Enzymes	782108	Troponin I.cardiac [Mass/volume] in Serum or Plasma
loinc	Lab - Cardiac Enzymes	785228	Creatine kinase.MB [Mass/volume] in Serum or Plasma
loinc	Lab - Coagulation	773718	aPTT in Blood by Coagulation assay
loinc	Lab - Coagulation	776750	Prothrombin time (PT)
loinc	Lab - Coagulation	777601	INR in Platelet poor plasma by Coagulation assay
loinc	Lab - Coagulation	817046	INR in Capillary blood by Coagulation assay
loinc	Lab - Lipid Panel	772509	Cholesterol in HDL [Mass/volume] in Serum or Plasma
loinc	Lab - Lipid Panel	772513	Cholesterol in LDL [Mass/volume] in Serum or Plasma
loinc	Lab - Lipid Panel	772518	Cholesterol [Mass/volume] in Serum or Plasma
loinc	Lab - Lipid Panel	772520	Cholesterol in HDL/Cholesterol.total [Mass Ratio] in Serum or Plasma
loinc	Lab - Lipid Panel	773574	Triglyceride [Mass/volume] in Blood
loinc	Lab - Lipid Panel	781905	Cholesterol.total/Cholesterol in HDL [Mass Ratio] in Serum or Plasma
loinc	Lab - Lipid Panel	814026	Cholesterol non HDL [Mass/volume] in Serum or Plasma
loinc	Lifestyle - Alcohol Use	782600	History of Alcohol use
loinc	Lifestyle - Alcohol Use	843960	Alcoholic drinks per day
loinc	Lifestyle - Alcohol Use	845809	How often have you had four or more drinks in one day during the past year [Reported]
truveta	Lifestyle - Alcohol Use	5450035	Alcohol intake per week [oz]
truveta	Lifestyle - Alcohol Use	5450036	Binge drinking frequency
snomed	Lifestyle - Diet/Nutrition	319555	Nutrition
snomed	Lifestyle - SDOH	265073	Finding relating to sexual activity
snomed	Lifestyle - Sleep	239670	Sleep
loinc	Lifestyle - Social Determinants of Health	833950	About how long did you work at that job or business
loinc	Lifestyle - Social Determinants of Health	852513	Years of education [#] - Reported
loinc	Lifestyle - Social Determinants of Health	864151	Country of travel [Location]
loinc	Lifestyle - Social Determinants of Health	864905	Whether patient is employed in a healthcare setting
loinc	Lifestyle - Social Determinants of Health	864908	Whether patient resides in a congregate care setting
loinc	Lifestyle - Social Determinants of Health	2505669	Problems getting child care make work or study difficult
loinc	Lifestyle - Social Determinants of Health	4120678	Do you feel physically or emotionally unsafe where you currently live
snomed	Lifestyle - Social Determinants of Health	206471	Financial circumstances
snomed	Lifestyle - Social Determinants of Health	281973	Household, family and support network detail
truveta	Lifestyle - Social Determinants of Health	5450007	Do you feel that you are treated well by your partner/spouse/family member?
truveta	Lifestyle - Social Determinants of Health	5450009	Incarceration within the past 2 years - Tuberculosis screening
truveta	Lifestyle - Social Determinants of Health	5450012	Homelessness or residence in shelter - Tuberculosis screening
truveta	Lifestyle - Social Determinants of Health	5450014	Born outside of the United States - Tuberculosis screening
truveta	Lifestyle - Social Determinants of Health	5450020	Have you experienced physical, sexual, or emotional abuse or threats from a current or former partner or family member?
truveta	Lifestyle - Social Determinants of Health	5450021	Are you currently in a relationship where you feel hurt, threatened, or afraid?
truveta	Lifestyle - Social Determinants of Health	5450022	Safe in relationship
truveta	Lifestyle - Social Determinants of Health	5450024	Do you have concerns about your safety, your child's safety or any family member's safety?
loinc	Lifestyle - Substance Use	813462	Substance abuse [CCC]
snomed	Lifestyle - Substance Use	210672	Intravenous drug user
snomed	Lifestyle - Substance Use	286574	Illicit medication use
snomed	Lifestyle - Substance Use	465153	History of intravenous drug abuse
truveta	Lifestyle - Substance Use	5450016	Injection drug use - Tuberculosis screening
icd10cm	Lifestyle - Tobacco Use	613079	Personal history of nicotine dependence
loinc	Lifestyle - Tobacco Use	779948	Cigarettes smoked current (pack per day) - Reported
loinc	Lifestyle - Tobacco Use	782636	History of Tobacco use
loinc	Lifestyle - Tobacco Use	838606	Have you used tobacco in the last 30 days [SAMHSA]
loinc	Lifestyle - Tobacco Use	842116	Tobacco smoking status
loinc	Lifestyle - Tobacco Use	843957	Date quit tobacco smoking
loinc	Lifestyle - Tobacco Use	857582	Tobacco use duration
loinc	Lifestyle - Tobacco Use	857584	Smokeless tobacco status
snomed	Lifestyle - Tobacco Use	56481	Cigar smoker
snomed	Lifestyle - Tobacco Use	61752	Cigarette smoker
snomed	Lifestyle - Tobacco Use	76941	Chews tobacco
snomed	Lifestyle - Tobacco Use	84546	Tobacco dependence syndrome
snomed	Lifestyle - Tobacco Use	210778	Snuff user
snomed	Lifestyle - Tobacco Use	408920	Electronic cigarette user
truveta	Lifestyle - Tobacco Use	5450038	Pipe smoker
rxnorm	Medication - Allergy / Respiratory	949099	fluticasone propionate 0.05 MG/ACTUAT Metered Dose Nasal Spray [Flonase]
rxnorm	Medication - Allergy / Respiratory	1064866	pseudoephedrine hydrochloride 30 MG Oral Tablet
rxnorm	Medication - Allergy / Respiratory	1097552	Advair Diskus 250/50
rxnorm	Medication - Allergy / Respiratory	4058162	fluticasone propionate Nasal Product
rxnorm	Medication - Antibiotics	951511	ciprofloxacin 250 MG Oral Tablet
rxnorm	Medication - Antibiotics	956660	levofloxacin 500 MG Oral Tablet
rxnorm	Medication - Antibiotics	966107	azithromycin 250 MG Oral Tablet [Zithromax]
rxnorm	Medication - Antibiotics	984576	ciprofloxacin 500 MG Oral Tablet
rxnorm	Medication - Antibiotics	984626	azithromycin 250 MG Oral Tablet
rxnorm	Medication - Antibiotics	998031	nitrofurantoin Oral Capsule [Macrobid]
snomed	Medication - Antibiotics	315481	Erythromycin
snomed	Medication - Antibiotics	315574	Sulfonamide antibacterial
snomed	Medication - Antibiotics	423631	Penicillin
rxnorm	Medication - Antihypertensives	950960	atenolol 25 MG Oral Tablet
rxnorm	Medication - Antihypertensives	950961	atenolol 50 MG Oral Tablet
rxnorm	Medication - Antihypertensives	953032	lisinopril 40 MG Oral Tablet
rxnorm	Medication - Antihypertensives	954357	potassium chloride 20 MEQ Extended Release Oral Tablet
rxnorm	Medication - Antihypertensives	986403	furosemide 40 MG Oral Tablet
rxnorm	Medication - Antihypertensives	986587	lisinopril 10 MG Oral Tablet
rxnorm	Medication - Antihypertensives	986753	lisinopril 20 MG Oral Tablet
rxnorm	Medication - Antihypertensives	988340	hydrochlorothiazide 25 MG Oral Tablet
rxnorm	Medication - Antihypertensives	1001279	hydrochlorothiazide / valsartan Oral Tablet
rxnorm	Medication - Antihypertensives	1002912	hydrochlorothiazide / triamterene Oral Capsule
rxnorm	Medication - Antihypertensives	1006362	hydrochlorothiazide / lisinopril Oral Tablet
rxnorm	Medication - Antihypertensives	1006573	hydrochlorothiazide / losartan Oral Tablet
rxnorm	Medication - Antihypertensives	1008593	hydrochlorothiazide / triamterene Oral Tablet
rxnorm	Medication - Antihypertensives	1034372	potassium chloride 10 MEQ Extended Release Oral Tablet [Klor-Con]
rxnorm	Medication - Antihypertensives	1034431	labetalol
rxnorm	Medication - Antihypertensives	1051854	metoprolol succinate 50 MG Extended Release Oral Tablet
rxnorm	Medication - Antihypertensives	1052099	metoprolol tartrate 100 MG Oral Tablet
rxnorm	Medication - Antihypertensives	1052102	metoprolol tartrate 50 MG Oral Tablet
rxnorm	Medication - Antihypertensives	1052323	metoprolol tartrate 25 MG Oral Tablet
rxnorm	Medication - Antihypertensives	1061101	losartan potassium 100 MG Oral Tablet
snomed	Medication - Antihypertensives	321592	Lisinopril
rxnorm	Medication - Bone Health	1050814	6 ML hylan G-F 20 8 MG/ML Prefilled Syringe
rxnorm	Medication - Bone Health	1058398	alendronic acid 35 MG Oral Tablet
rxnorm	Medication - Cardiac	880495	warfarin
rxnorm	Medication - Cardiac	951882	digoxin 0.25 MG Oral Tablet
rxnorm	Medication - Cardiac	965297	aspirin 325 MG Oral Tablet
rxnorm	Medication - Cardiac	976317	aspirin 81 MG Oral Tablet
rxnorm	Medication - Cardiac	1009410	nitroglycerin Sublingual Tablet
rxnorm	Medication - Cardiac	1050068	warfarin sodium 2 MG Oral Tablet
rxnorm	Medication - Cardiac	1050078	warfarin sodium 2.5 MG Oral Tablet
rxnorm	Medication - Cardiac	1050253	warfarin sodium 4 MG Oral Tablet
rxnorm	Medication - Cardiac	1050261	warfarin sodium 5 MG Oral Tablet
rxnorm	Medication - Diabetes	1053194	metformin hydrochloride 1000 MG Oral Tablet
rxnorm	Medication - Diabetes	1053197	metformin hydrochloride 500 MG Oral Tablet
rxnorm	Medication - GI / Acid Suppression	954197	omeprazole 20 MG Delayed Release Oral Capsule
rxnorm	Medication - GI / Acid Suppression	954568	ranitidine 150 MG Oral Tablet
rxnorm	Medication - GI / Acid Suppression	990285	lansoprazole 30 MG Delayed Release Oral Capsule
rxnorm	Medication - GI / Acid Suppression	1010934	omeprazole 20 MG Delayed Release Oral Tablet
rxnorm	Medication - GI / Acid Suppression	1030831	esomeprazole 40 MG Delayed Release Oral Capsule [Nexium]
rxnorm	Medication - Hormone Therapy (HRT)	1001426	estrogens, conjugated (USP) Oral Tablet [Premarin]
rxnorm	Medication - Hormone Therapy (HRT)	1008491	estrogens, conjugated (USP) Oral Tablet
rxnorm	Medication - Mental Health / Sleep	957431	citalopram 20 MG Oral Tablet
rxnorm	Medication - Mental Health / Sleep	1002342	alprazolam Oral Tablet
rxnorm	Medication - Mental Health / Sleep	1045437	cyclobenzaprine hydrochloride 10 MG Oral Tablet
rxnorm	Medication - Mental Health / Sleep	1048979	zolpidem tartrate 10 MG Oral Tablet
rxnorm	Medication - Mental Health / Sleep	1048982	zolpidem tartrate 5 MG Oral Tablet
rxnorm	Medication - Other Chronic	954457	allopurinol 100 MG Oral Tablet
rxnorm	Medication - Other Chronic	954458	allopurinol 300 MG Oral Tablet
