code_type	category	code_id	term
rxnorm	Medication - Other Chronic	954545	prednisone 10 MG Oral Tablet
rxnorm	Medication - Other Chronic	1007636	methylprednisolone Injectable Suspension
rxnorm	Medication - Pain (Non-Opioid)	952793	indomethacin 50 MG Oral Capsule
rxnorm	Medication - Pain (Non-Opioid)	1047165	naproxen sodium 220 MG Oral Tablet
rxnorm	Medication - Respiratory (Chronic)	918368	albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [Ventolin]
rxnorm	Medication - Respiratory (Chronic)	919120	albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [Proventil]
rxnorm	Medication - Respiratory (Chronic)	1115472	Albuterol / Ipratropium Inhalant Solution
rxnorm	Medication - Respiratory (Chronic)	1116488	Albuterol Inhalant Solution
rxnorm	Medication - Respiratory (Chronic)	1152119	Albuterol Metered Dose Inhaler [ProAir HFA]
rxnorm	Medication - Statins (Lipid Lowering)	953050	lovastatin 10 MG Oral Tablet
rxnorm	Medication - Statins (Lipid Lowering)	953051	lovastatin 20 MG Oral Tablet
rxnorm	Medication - Statins (Lipid Lowering)	953052	lovastatin 40 MG Oral Tablet
rxnorm	Medication - Statins (Lipid Lowering)	954885	simvastatin 40 MG Oral Tablet
rxnorm	Medication - Statins (Lipid Lowering)	983836	gemfibrozil 600 MG Oral Tablet
rxnorm	Medication - Statins (Lipid Lowering)	985313	simvastatin 20 MG Oral Tablet
rxnorm	Medication - Statins (Lipid Lowering)	986178	simvastatin 10 MG Oral Tablet
rxnorm	Medication - Statins (Lipid Lowering)	1032689	atorvastatin 10 MG Oral Tablet
rxnorm	Medication - Statins (Lipid Lowering)	1032847	atorvastatin 20 MG Oral Tablet [Lipitor]
rxnorm	Medication - Statins (Lipid Lowering)	1058739	pravastatin sodium 20 MG Oral Tablet
rxnorm	Medication - Statins (Lipid Lowering)	1058862	pravastatin sodium 40 MG Oral Tablet
rxnorm	Medication - Statins (Lipid Lowering)	1058868	pravastatin sodium 80 MG Oral Tablet
snomed	Medication - Supplements (OTC)	42883	Ruta graveolens
rxnorm	Medication - Supplements / Vitamins	881357	chondroitin sulfates / glucosamine Oral Product
rxnorm	Medication - Supplements / Vitamins	899212	Ocuvite Oral Product
rxnorm	Medication - Supplements / Vitamins	907591	Metamucil Oral Product
rxnorm	Medication - Supplements / Vitamins	958587	vitamin E Oral Capsule
rxnorm	Medication - Supplements / Vitamins	981610	ubidecarenone 100 MG Oral Capsule
rxnorm	Medication - Supplements / Vitamins	1002374	cholecalciferol Oral Capsule
rxnorm	Medication - Supplements / Vitamins	1003088	vitamin B12 Oral Tablet
rxnorm	Medication - Supplements / Vitamins	1012365	ubidecarenone Oral Capsule
rxnorm	Medication - Supplements / Vitamins	1035875	chondroitin sulfates / glucosamine Oral Capsule
rxnorm	Medication - Supplements / Vitamins	1083226	Vitamin D 1000 UNT Oral Tablet
rxnorm	Medication - Supplements / Vitamins	1091081	Multivitamin preparation
rxnorm	Medication - Supplements / Vitamins	1096745	calcium carbonate / vitamin D Oral Product
rxnorm	Medication - Supplements / Vitamins	1125025	Calcium / Vitamin D Oral Tablet
rxnorm	Medication - Supplements / Vitamins	1125277	Calcium 500 MG Oral Tablet
rxnorm	Medication - Supplements / Vitamins	1125391	calcium carbonate / vitamin D Oral Tablet
rxnorm	Medication - Supplements / Vitamins	1135650	Multivitamin preparation Oral Tablet
rxnorm	Medication - Supplements / Vitamins	1135684	Magnesium 250 MG Oral Tablet
rxnorm	Medication - Supplements / Vitamins	1140839	Vitamin D Oral Tablet
rxnorm	Medication - Supplements / Vitamins	1141570	Vitamin D Oral Capsule
rxnorm	Medication - Thyroid	998587	levothyroxine Oral Tablet [Synthroid]
rxnorm	Medication - Thyroid	1006349	levothyroxine Oral Tablet
rxnorm	Medication - Thyroid	1059045	levothyroxine sodium 0.1 MG Oral Tablet [Synthroid]
loinc	Post-Acute Markers	853098	Transferring
loinc	Symptoms - General	836756	Cognitive impairment [Reported]
snomed	Symptoms - General	31925	Food appetite
snomed	Symptoms - General	229456	Long-term memory performance
snomed	Symptoms - General	248190	Tired all the time
snomed	Symptoms - General	248196	Edema
snomed	Symptoms - General	252182	Malaise and fatigue
snomed	Symptoms - General	310568	Malaise
snomed	Symptoms - General	346249	Balancing when standing
snomed	Symptoms - General	354690	Unexplained weight loss
snomed	Symptoms - Genitourinary	181020	Female genital organ symptoms
snomed	Symptoms - Mental Health	229622	Level of interest
loinc	Symptoms - Pain	806841	Pain exacerbating factors - Reported
loinc	Symptoms - Pain	842451	Pain severity - 0-10 verbal numeric rating [Score] - Reported
loinc	Symptoms - Pain	860984	I have only walked short distances because of my back pain in the last 2 weeks [STarT Back]
loinc	Symptoms - Pain	860990	Overall, how bothersome has your back pain been in the last 2 weeks [STarT Back]
snomed	Symptoms - Pain	20922	Pain
snomed	Symptoms - Pain	338313	Pain level
snomed	Symptoms - Pain	4048595	Numeric Pain Rating Scale score
snomed	Symptoms - Pain	4049529	Presence of pain
loinc	Vital Signs / Anthropometrics	779577	Body surface area
loinc	Vital Signs / Anthropometrics	779635	Body weight Estimated
loinc	Vital Signs / Anthropometrics	779658	Blood pressure device Cuff size
loinc	Vital Signs / Anthropometrics	780001	Vital signs
loinc	Vital Signs / Anthropometrics	780134	Oxygen saturation device measurement site
loinc	Vital Signs / Anthropometrics	780161	Heart rate rhythm
loinc	Vital Signs / Anthropometrics	849123	Body weight --used for drug calculation
loinc	Vital Signs / Anthropometrics	850120	Nursing physiologic assessment panel
snomed	Vital Signs / Anthropometrics	232812	Sinus rhythm
snomed	Vital Signs / Anthropometrics	264065	Pulse oximetry monitoring
snomed	Vital Signs / Anthropometrics	355946	Current chronological age
snomed	Vital Signs / Anthropometrics	2646149	Dosing body weight
snomed	Comorbidity - Benign Breast	25813	Fibrocystic disease of breast
loinc	Lab - Bone Density / DEXA	850833	DXA Radius and Ulna - left [T-score] Bone density
snomed	History - Hereditary Risk	345410	BRCA1 gene mutation detected
snomed	Comorbidity - Cardiovascular	23632	Phlebitis of deep veins of lower extremity
snomed	Symptoms - Breast Lump	83974	Breast lump
snomed	Symptoms - Breast Lump	105058	Breast finding
snomed	Symptoms - Breast Lump	180739	Breast signs and symptoms
snomed	Symptoms - Breast Lump	145840	H/O: breast problem
snomed	Symptoms - Breast Lump	270038	Breast problem
snomed	Symptoms - Breast Lump	255552	Breast changes
icd10cm	Symptoms - Breast Lump	546458	Localized swelling, mass and lump, trunk
snomed	Symptoms - Breast Lump	230662	Ptotic breast
snomed	Comorbidity - Atypical Hyperplasia	359476	Atypical ductal hyperplasia of breast
snomed	Comorbidity - Atypical Hyperplasia	459791	Atypical ductal hyperplasia of right breast
snomed	Comorbidity - Atypical Hyperplasia	378176	Atypical lobular hyperplasia of breast
snomed	Comorbidity - Atypical Hyperplasia	460170	Atypical lobular hyperplasia of right breast
snomed	Comorbidity - Atypical Hyperplasia	460171	Atypical lobular hyperplasia of left breast
snomed	Comorbidity - Atypical Hyperplasia	312598	Atypical hyperplasia of breast
snomed	Comorbidity - Benign Breast	332806	Cyst of breast
snomed	Comorbidity - Benign Breast	54622	Benign mammary dysplasia
snomed	Comorbidity - Benign Breast	4045002	Fibrosclerosis of right breast
snomed	Comorbidity - Benign Breast	4045003	Fibrosclerosis of left breast
snomed	Comorbidity - Benign Breast	458640	Intraductal papilloma of left breast
snomed	Comorbidity - Benign Breast	71418	Cellulitis of breast
snomed	Screening - Mammography	23167	Screening mammography
hcpcs	Screening - Mammography	1220784	Screening mammography, bilateral
cpt	Screening - Mammography	2638188	Screening mammography results documented and reviewed
cpt	Screening - Mammography	2644219	Screening mammography, bilateral v2
cpt	Screening - Mammography	2644224	Computer-aided detection (screening mammography)
cpt	Screening - Mammography	2644220	Mammography; bilateral
cpt	Screening - Mammography	2643689	Computer-aided detection (no further review)
cpt	Screening - Mammography	67481	Mammography
snomed	Comorbidity - Menopause	145757	Menopause
snomed	Comorbidity - Menopause	110920	Menopausal syndrome
snomed	Comorbidity - Menopause	20494	Menopausal symptom
icd10cm	Lifestyle - SDOH	521818	Other obesity due to excess calories
icd10cm	Lifestyle - SDOH	521817	Morbid (severe) obesity due to excess calories
loinc	Lifestyle - Alcohol Use	844150	Alcohol use [NTDS]
snomed	History - Family Hx Breast Cancer	361314	Family history of breast cancer
snomed	History - Family Hx Breast Cancer	361837	Family history of malignant neoplasm of breast in first degree relative
snomed	History - Family Hx Breast Cancer	450333	Family history of breast cancer gene BRCA mutation
snomed	History - Family Hx Breast Cancer	362775	Family history of breast cancer 2 gene mutation
snomed	History - Family Hx Breast Cancer	292089	Family history of neoplasm of breast
snomed	History - Family Hx Breast Cancer	452240	Family history of malignant neoplasm of breast diagnosed before 45 years of age
snomed	History - Family Hx Breast Cancer	452114	Family history of malignant neoplasm of breast in first degree relative less than 50 years of age
snomed	History - Family Hx Breast Cancer	452123	Family history of breast cancer gene mutation in first degree relative
snomed	History - Family Hx Other Cancers	362217	Family history of malignant neoplasm of ovary (BRCA-linked)
snomed	History - Family Hx Other Cancers	346775	Family history of malignant neoplasm of prostate (BRCA2-linked)
snomed	History - Family Hx Other Cancers	360617	Family history of malignant neoplasm of pancreas (BRCA2-linked)
snomed	History - Family Hx Other Cancers	256136	Family history of malignant neoplasm (general)
snomed	History - Family Hx Other Cancers	447793	Family history of colorectal cancer (Lynch)
snomed	History - Family Hx Other Cancers	291817	Family history of cancer of colon (Lynch)
snomed	History - Family Hx Other Cancers	360623	Family history of malignant neoplasm of GI tract
snomed	History - Family Hx Other Cancers	362320	Family history of malignant neoplasm of digestive organ
snomed	History - Family Hx Other Cancers	255405	FH: Stomach cancer
snomed	History - Oophorectomy	361336	History of total hysterectomy with bilateral salpingo-oophorectomy
snomed	History - Oophorectomy	359536	History of bilateral salpingo-oophorectomy
snomed	History - Oophorectomy	104759	Salpingo-oophorectomy
snomed	History - Oophorectomy	81433	Total hysterectomy with removal of both tubes and ovaries
cpt	History - Oophorectomy	2639127	Laparoscopic salpingo-oophorectomy
snomed	Comorbidity - Ovarian Failure	219250	Menopause ovarian failure
snomed	Comorbidity - Ovarian Failure	219879	Premature ovarian insufficiency
snomed	Comorbidity - Ovarian Failure	100933	Ovarian failure
snomed	Comorbidity - Ovarian Failure	62011	Primary ovarian failure
snomed	Comorbidity - Ovarian Failure	522155	Asymptomatic postprocedural ovarian failure
snomed	Comorbidity - Ovarian Conditions	444369	Polycystic bilateral ovaries
snomed	Comorbidity - Ovarian Conditions	462417	Cyst of bilateral ovaries
snomed	Comorbidity - Ovarian Conditions	447425	Complex ovarian cyst
snomed	Comorbidity - Ovarian Conditions	541672	Unspecified ovarian cysts
snomed	Comorbidity - Ovarian Conditions	219159	Tubo-ovarian mass
snomed	History - Hereditary Risk	345414	BRCA2 gene mutation detected
snomed	History - Radiation Exposure	200537	Exposure to radiation
icd10cm	History - Radiation Exposure	613266	Personal history of irradiation
snomed	History - Radiation Exposure	145679	History of radiation exposure
snomed	Lab - Sex Hormones (Estrogens + Progesterone)	772685	Estradiol (E2) [Mass/volume] in Serum or Plasma
snomed	Lab - Sex Hormones (Estrogens + Progesterone)	2637074	Estradiol; total
snomed	Lab - Sex Hormones (Estrogens + Progesterone)	772701	Estrone (E1) [Mass/volume] in Serum or Plasma
snomed	Lab - Sex Hormones (Estrogens + Progesterone)	772693	Estriol (E3).unconjugated [Mass/volume] in Serum or Plasma
snomed	Lab - Sex Hormones (Estrogens + Progesterone)	791502	Estriol (E3).unconjugated [Multiple of the median] in Serum or Plasma
snomed	Lab - Sex Hormones (Estrogens + Progesterone)	773346	Progesterone [Mass/volume] in Serum or Plasma
snomed	Lab - Sex Hormones (Estrogens + Progesterone)	2634846	Progesterone
snomed	Lab - Sex Hormones (Androgens + SHBG)	773509	Testosterone [Mass/volume] in Serum or Plasma
snomed	Lab - Sex Hormones (Androgens + SHBG)	773515	Testosterone Free [Mass/volume] in Serum or Plasma
snomed	Lab - Sex Hormones (Androgens + SHBG)	2630573	Testosterone; total
snomed	Lab - Sex Hormones (Androgens + SHBG)	2630124	Testosterone; free
snomed	Lab - Sex Hormones (Androgens + SHBG)	773514	Testosterone.free+weakly bound [Mass/volume] in Serum or Plasma
snomed	Lab - Sex Hormones (Androgens + SHBG)	786687	Testosterone Free/Testosterone.total in Serum or Plasma
snomed	Lab - Sex Hormones (Androgens + SHBG)	778192	Testosterone.free+weakly bound/Testosterone.total in Serum or Plasma
snomed	Lab - Sex Hormones (Androgens + SHBG)	117007	Testosterone level below reference range
snomed	Lab - Sex Hormones (Androgens + SHBG)	117006	Testosterone level above reference range
snomed	Lab - Sex Hormones (Androgens + SHBG)	785226	Sex hormone binding globulin [Moles/volume] in Serum or Plasma
snomed	Lab - Sex Hormones (Androgens + SHBG)	2630650	Sex hormone binding globulin (SHBG)
snomed	Lab - Sex Hormones (Androgens + SHBG)	772627	Dehydroepiandrosterone sulfate (DHEA-S) [Mass/volume] in Serum or Plasma
snomed	Lab - Sex Hormones (Androgens + SHBG)	2630564	Dehydroepiandrosterone-sulfate (DHEA-S)
snomed	Lab - Sex Hormones (Androgens + SHBG)	772629	Dehydroepiandrosterone (DHEA) [Mass/volume] in Serum or Plasma
snomed	Lab - Sex Hormones (Androgens + SHBG)	2634993	Dehydroepiandrosterone (DHEA)
snomed	Lab - Pituitary Hormones (Prolactin + LH)	773350	Prolactin [Mass/volume] in Serum or Plasma
snomed	Lab - Pituitary Hormones (Prolactin + LH)	2634698	Prolactin
snomed	Lab - Pituitary Hormones (Prolactin + LH)	116937	Prolactin level above reference range
snomed	Lab - Pituitary Hormones (Prolactin + LH)	2630648	Gonadotropin; luteinizing hormone (LH)
snomed	Lab - Insulin Pathway (IGF-1 + C-peptide)	772952	Insulin-like growth factor-I [Mass/volume] in Serum or Plasma
snomed	Lab - Insulin Pathway (IGF-1 + C-peptide)	772398	C peptide [Mass/volume] in Serum or Plasma
snomed	Lab - Insulin Pathway (IGF-1 + C-peptide)	2631813	C-peptide
