 ,SNOMED Name,SNOMED ID,value,
Smoking,Current smoker,77176002,no,
,Cigarette smoker,65568007,no,yes
,Smoking cessation advice,225323000,no,
,Light cigarette smoker (1-9 cigs/day),160603005,no,
,Moderate cigarette smoker (10-19 cigs/day),160604004,no,
,"""Heavy cigarette smoker (20-39 cigs/day)""",160605003,no,
,"""Very heavy cigarette smoker (40+ cigs/day)""",160606002,no,
,Not interested in stopping smoking,394873005,no,
,Smoking cessation programme declined,1087441000000106,no,
,Smoking cessation advice declined,527151000000107,no,
,Tobacco smoking behaviour - finding,365981007,no,
,Referral to smoking cessation service declined,871641000000105,no,
,Advice on effects of smoking on health,225324006,no,
,Referral for smoking cessation service offered,767641000000109,no,
,Current smoker annual review,505651000000103,no,
,"""Passive smoking risk""",161080002,no,
,"""Date ceased smoking""",160625004,no,
,Tobacco smoking consumption,266918002,no,
,Cigar consumption,230057008,no,
,Asthma trigger - tobacco smoke,340921000000103,no,
,Ex-heavy cigarette smoker (20-39/day),266924008,no,
,,,,
,,,,
Ex-smoker,Ex-smoker,8517006,no,
,Ex-cigarette smoker,281018007,yes,
,"""Ex-light cigarette smoker (1-9/day)""",266922007,no,
,Ex-smoker annual review,505761000000105,no,
,Ex-moderate cigarette smoker (10-19/day),266923002,no,
,Ex-heavy cigarette smoker (20-39/day),266924008,no,
,"""Ex-very heavy cigarette smoker (40+/day)""",266925009,no,
,"""Ex-trivial cigarette smoker (<1/day)""",266921000,no,
,"""Ex roll-up cigarette smoker""",492191000000103,no,
,"""Trivial cigarette smoker (less than one cigarette/day)""",266920004,no,
,,,,
FEV,"""FEV1/FVC ratio""",251944000,yes,
,"""FEV1/FVC percent""",313222007,yes,
,"""FVC/Expected FVC percent""",407576000,yes,
,"""FEV1/FVC ratio before bronchodilator""",407602006,yes,
,"""Percent predicted FEV1""",313223002,yes,
,Forced vital capacity,50834005,no,
,,,,
,"""FEV1 before bronchodilation""",401012008,yes,
,"""FEV1 after bronchodilation""",401013003,yes,
,"""Expected FEV1""",310520004,yes,
,"""FEV1/FVC > 70% of predicted""",314473008,no,
,,,,
COPD,"""COPD assessment test score - cough""",1970531000006107,yes,
,"""COPD assessment test score - breathless walking up hill/stairs""",1970561000006103,yes,
,"""COPD assessment test score - phlegm (mucus)""",1970541000006102,yes,
,"""Chronic obstructive pulmonary disease assessment test score""",446660005,yes,
,"""Number of chronic obstructive pulmonary disease exacerbations in past year""",723245007,yes,
,"""Moderate chronic obstructive pulmonary disease""",313297008,no,
,"""Severe chronic obstructive pulmonary disease""",313299006,no,
,"""COPD - Chronic obstructive pulmonary disease""",13645005,no,
,"""Suspected chronic obstructive pulmonary disease""",204991000000107,no,
,,,,
,,,,
Mild COPD,"""Chronic obstructive pulmonary disease monitoring verbal invite""",716281000000103,no,
,"""Chronic obstructive pulmonary disease monitoring telephone invitation""",716901000000101,no,
,"""Issue of chronic obstructive pulmonary disease rescue pack""",718241000000107,no,
,"""COPD self-management plan given""",390891009,no,
,"""CAT - COPD (chronic obstructive pulmonary disease) assessment test""",527361000000107,no,
,,,,
Emphysema,"""Pulmonary emphysema""",87433001,no,
,"""[RFC] Emphysema""",909721000006104,no,
,"""[RFC] Reason for care : Emphysema""",909721000006104,no,
,"""Centrilobular emphysema""",68328006,no,
,"""Emphysematous""",263747008,no,
,,,,
Fibrosis,"""Idiopathic pulmonary fibrosis""",700250006,no,
,"""Fibrosis-4 index score""",719873005,yes,
,"""[RFC] Reason for care : Pulmonary fibrosis""",909731000006101,no,
,"""Fibrosis of lung""",51615001,no,
,"""Non-alcoholic fatty liver disease (NAFLD) fibrosis score""",1879891000006107,yes,
,"""NAFLD (Non-Alcoholic Fatty Liver Disease) fibrosis score""",1079461000000108,yes,
,,,,
night sweats,"""Night sweats""",42984000,no,
,,,,
Cough,"""Cough""",49727002,no,
,"""Chesty cough""",161929000,no,
,"""Dry cough""",11833005,no,
,"""Persistent cough""",284523002,no,
,"""Nocturnal cough / wheeze""",161947006,no,
,"""Productive cough -green sputum""",161924005,no,
,,,,
,,,,
,,,,
Chest pain,"""Chest pain""",29857009,no,
plus smoke,"""Chest pain on exertion""",81953000,no,
,"""Atypical chest pain""",102589003,no,
,"""Pleuritic pain""",2237002,no,
,"""Musculoskeletal chest pain""",281245003,no,
,,,,
Weight loss,"""Body weight""",27113001,yes,
plus smoke,"""Weight loss""",89362005,no,
,"""Complaining of weight loss""",198511000000103,no,
,,,,
,,,,
Chest Infection,"""Chest infection - pnemonia due to unspecified organism""",312342009,no,
,"""Chest infection - unspecified bronchitis""",32398004,no,
,"""Chest infection - unspecified bronchopneumonia""",396285007,no,
,"""Upper respiratory infection""",54150009,no,
,"""Acute upper respiratory infection""",54398005,no,
,"""Acute respiratory infections""",195647007,no,
,"""Lower respiratory tract infection""",50417007,no,
,"""Acute lower respiratory tract infection""",195742007,no,
,"""LRTI - Lower respiratory tract infection""",50417007,no,
,,,,
higher neutrophils,"""Percentage neutrophils""",1015471000000105,yes,
,"""Neutrophil count""",1022551000000104,yes,
,,,,
lower albumin,"""Serum albumin level""",1000821000000103,yes,
,"""Urine albumin:creatinine ratio""",1023491000000104,yes,
,"""Urine albumin level""",1003301000000109,yes,
,,,,
Red Flags,"""Haemoptysis""",66857006,no,
,"""History of asbestos exposure""",161635002,no,
,"""H/O: asbestos exposure""",161635002,no,
,"""Abnormal weight loss""",267024001,no,
,"""Heavy cigarette smoker (20-39 cigs/day)""",160605003,no,
,"""Very heavy cigarette smoker (40+ cigs/day)""",160606002,no,
,Ex-heavy cigarette smoker (20-39/day),266924008,no,
,"""Ex-very heavy cigarette smoker (40+/day)""",266925009,no,
,"""Supraclavicular lymph node biopsy""",396484008,no,
,Solitary nodule of lung,427359005,no,
,2 week rule referral - lung,831311000006106,no,
,Standard chest X-ray abnormal,168734001,no,
,Fast track referral for suspected lung cancer,276491000000101,no,
,Fast track cancer referral,199251000000107,no,
,Suspected lung cancer,162573006,no,
,,,,
Thrombocytosis,"""Thrombocytosis""",6631009,no,
,,,,
"""Finger clubbing""","""O/E - finger clubbing""",164457001,no,
,"""Finger clubbing""",30760008,no,
,,,,
,,,,
"""Breathlessness""","""Breathlessness"" (Dyspnoea)",267036007,no,
plus smoke,"""MRC Breathlessness Scale: grade 1""",391120009,no,
,"""MRC Breathlessness Scale: grade 2""",391123006,no,
,"""MRC Breathlessness Scale: grade 3""",391124000,no,
,"""MRC Breathlessness Scale: grade 4""",391125004,no,
,,,,
,,,,
Spirometry,Spirometry,127783003,no,
,"""Spirometry screening""",171255006,no,
,"""Referral for spirometry""",415261001,no,
,"""Spirometry screening invitation""",894821000000107,no,
,,,,
Ashtma,"""Asthma""",195967001,no,
,"""Asthma self-management plan review""",810901000000102,no,
,"""Asthma trigger - respiratory infection""",201031000000108,no,
,"""Number of asthma exacerbations in past year""",366874008,no,
,"""Asthma control test score""",443117005,no,
,"""Asthma clinical management plan""",736056000,no,
,"""Health education - asthma""",401135008,no,
,"""Single inhaler maintenance and reliever therapy started""",919601000000107,no,
,"""Using inhaled steroids - normal dose""",170661005,no,
,"""Asthma annual review""",394700004,no,
,Asthma monitoring check done,270442000,no,
,Inhaler technique observed,170614009,no,
,Asthma review using Royal College of Physicians three questions,754061000000100,no,
,"""Asthma never causes daytime symptoms""",370208006,no,
,"""Asthma not disturbing sleep""",170635006,no,
,"""Asthma management""",406162001,no,
,"""Asthma treatment compliance satisfactory""",370226009,no,
,"""Asthma not limiting activities""",170638008,no,
,"""Asthma annual review""",394700004,no,
,"""Royal College of Physicians asthma assessment""",302331000000106,no,
,"""Asthma monitoring""",275908000,no,
,,,,
,,,,
Systolic Blood pressure,"""Systolic arterial pressure""",72313002,yes,
,,,,
,,,,
Diastolic Blood pressure,"""Diastolic arterial pressure""",1091811000000102,yes,
,,,,
,,,,
Heart Rate,"""Heart rate""",364075005,yes,
,"""Pulse rate""",78564009,yes,
,,,,
BMI,"""Body mass index""",60621009,yes,
,,,,
,,,,
Oxygen level,"""SpO2 - oxygen saturation at periphery""",431314004,yes,
,"""Haemoglobin saturation with oxygen""",103228002,yes,
,"""Blood oxygen saturation (calculated)""",1017311000000104,yes,
,,,,
,,,,
,,,,
Red flag on wearables metrics,"""Raised blood pressure""",24184005,no,
,"""Abnormal weight loss""",267024001,no,
,"""Obesity""",414916001,no,
,,,,
,,,,
,"""Subcutaneous nodule""",95325000,,
,"""Has nosebleeds - epistaxis""",249366005,,